airbnb_id,night_priceـnative,night_price,weekly_price,monthly_price,cleaning_fee_native,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33463357.0,81.0,101.0,0.0,0.0,85.0,1.0,2.0,91.0,332.0,2794.0,269124.0,Orlando,4.0,32789.0,Apartment,Entire home/apt,99.0,2.0,28.6017,-81.3565,5.0
33459216.0,50.0,166.0,0.0,0.0,150.0,2.5,4.0,64.0,137.0,3249.0,269028.0,Orlando,10.0,32819.0,House,Entire home/apt,37.0,5.0,28.4884,-81.4894,5.0
33464445.0,311.0,285.0,0.0,0.0,150.0,2.0,2.0,49.0,75.0,4275.0,269131.0,Orlando,4.0,32789.0,House,Entire home/apt,74.0,2.0,28.6037,-81.3839,5.0
33453011.0,109.0,112.0,0.0,0.0,67.0,1.0,3.0,72.0,262.0,2445.0,268878.0,Orlando,4.0,32801.0,House,Entire home/apt,296.0,3.0,28.5399,-81.3677,5.0
33453395.0,100.0,128.0,0.0,0.0,40.0,1.0,1.0,58.0,211.0,2251.0,268878.0,Orlando,3.0,32801.0,Guesthouse,Entire home/apt,379.0,2.0,28.5434,-81.3657,5.0
33453917.0,99.0,157.0,0.0,0.0,125.0,1.0,2.0,25.0,75.0,1178.0,268878.0,Orlando,4.0,32803.0,Bungalow,Entire home/apt,98.0,3.0,28.546,-81.3609,5.0
33459269.0,96.0,85.0,0.0,0.0,50.0,1.0,1.0,74.0,270.0,1913.0,269035.0,Orlando,2.0,32804.0,Guesthouse,Entire home/apt,477.0,1.0,28.5727,-81.3802,5.0
33453124.0,75.0,75.0,0.0,0.0,60.0,1.0,1.0,87.0,316.0,1975.0,268906.0,Orlando,3.0,32822.0,Condominium,Entire home/apt,24.0,1.0,28.5142,-81.2984,5.0
33454573.0,69.0,90.0,0.0,0.0,60.0,1.0,1.0,97.0,353.0,2648.0,268940.0,Orlando,3.0,,Condominium,Entire home/apt,32.0,1.0,28.5094,-81.2921,5.0
33453462.0,310.0,274.0,0.0,0.0,100.0,3.0,3.0,88.0,322.0,7352.0,268881.0,Orlando,8.0,32792.0,House,Entire home/apt,60.0,4.0,28.5888,-81.3209,5.0
33465843.0,58.0,80.0,0.0,0.0,45.0,1.0,1.0,13.0,4.0,320.0,269222.0,Orlando,2.0,32829.0,Guest suite,Entire home/apt,7.0,1.0,28.4672,-81.2605,5.0
33460353.0,112.0,108.0,630.0,1800.0,75.0,1.0,1.0,9.0,33.0,297.0,269050.0,Orlando,2.0,32804.0,Apartment,Entire home/apt,32.0,1.0,28.5955,-81.3989,5.0
33463641.0,89.0,120.0,0.0,0.0,79.0,2.0,4.0,50.0,184.0,1840.0,269091.0,Orlando,7.0,32839.0,House,Entire home/apt,76.0,4.0,28.4755,-81.4078,5.0
33454645.0,210.0,220.0,0.0,0.0,90.0,1.0,2.0,22.0,79.0,1448.0,268878.0,Orlando,5.0,32801.0,Guesthouse,Entire home/apt,17.0,3.0,28.5425,-81.3635,5.0
33459054.0,99.0,103.0,0.0,0.0,95.0,2.0,2.0,69.0,232.0,2172.0,268987.0,Orlando,6.0,32819.0,Apartment,Entire home/apt,227.0,4.0,28.4561,-81.469,5.0
33456721.0,75.0,61.0,0.0,0.0,55.0,1.0,1.0,95.0,345.0,1754.0,268987.0,Orlando,2.0,32819.0,Condominium,Entire home/apt,312.0,2.0,28.4573,-81.4668,5.0
33458084.0,299.0,429.0,0.0,0.0,399.0,5.0,5.0,89.0,326.0,11655.0,268890.0,Orlando,15.0,34747.0,House,Entire home/apt,112.0,9.0,28.5362,-81.3812,5.0
33452107.0,70.0,91.0,0.0,0.0,65.0,2.0,2.0,47.0,170.0,1289.0,268866.0,Orlando,4.0,32811.0,Condominium,Entire home/apt,313.0,2.0,28.4887,-81.4417,5.0
33463316.0,189.0,188.0,0.0,0.0,35.0,1.0,1.0,91.0,278.0,5226.0,269076.0,Orlando,2.0,32801.0,Apartment,Entire home/apt,62.0,1.0,28.5419,-81.3801,5.0
33451602.0,61.0,58.0,0.0,0.0,50.0,1.0,1.0,87.0,318.0,1537.0,268866.0,Orlando,2.0,32811.0,Apartment,Entire home/apt,339.0,1.0,28.4966,-81.4376,5.0
33458130.0,110.0,88.0,0.0,0.0,40.0,1.0,1.0,96.0,291.0,2561.0,268987.0,Orlando,6.0,32819.0,Apartment,Entire home/apt,49.0,3.0,28.4532,-81.4686,5.0
33452795.0,200.0,125.0,0.0,0.0,400.0,1.0,2.0,36.0,120.0,1364.0,268881.0,Orlando,5.0,32803.0,House,Entire home/apt,20.0,3.0,28.5544,-81.3504,5.0
33463872.0,91.0,119.0,0.0,0.0,90.0,2.0,2.0,98.0,358.0,3550.0,269124.0,Orlando,4.0,32789.0,Apartment,Entire home/apt,170.0,2.0,28.6017,-81.3565,5.0
33452304.0,85.0,81.0,0.0,0.0,174.0,1.0,0.0,60.0,92.0,1490.0,268878.0,Orlando,3.0,32789.0,Guest suite,Entire home/apt,232.0,1.0,28.5835,-81.3697,5.0
33451504.0,81.0,91.0,0.0,0.0,,1.0,1.0,77.0,282.0,2139.0,125976.0,Orlando,4.0,32804.0,Tiny house,Entire home/apt,340.0,2.0,28.582,-81.4075,5.0
33453444.0,105.0,129.0,0.0,0.0,45.0,1.0,1.0,96.0,351.0,3773.0,268878.0,Orlando,3.0,32803.0,Guesthouse,Entire home/apt,374.0,2.0,28.5453,-81.3558,5.0
33452611.0,45.0,66.0,0.0,0.0,40.0,1.0,1.0,59.0,215.0,1183.0,268890.0,Orlando,2.0,32806.0,Guest suite,Entire home/apt,136.0,1.0,28.5056,-81.3574,5.0
33460061.0,70.0,93.0,0.0,0.0,50.0,1.0,1.0,27.0,98.0,760.0,269039.0,Orlando,2.0,32789.0,Guest suite,Entire home/apt,65.0,1.0,28.5905,-81.3749,5.0
33453624.0,155.0,138.0,0.0,0.0,150.0,1.0,1.0,67.0,244.0,2806.0,268878.0,Orlando,4.0,32789.0,Guesthouse,Entire home/apt,60.0,2.0,28.5845,-81.3692,5.0
33460330.0,199.0,141.0,0.0,0.0,39.0,2.0,2.0,85.0,311.0,3654.0,268987.0,Orlando,4.0,32819.0,Condominium,Entire home/apt,231.0,3.0,28.4566,-81.4681,5.0
33460383.0,199.0,142.0,0.0,0.0,39.0,2.0,2.0,78.0,283.0,3349.0,268987.0,Orlando,4.0,32819.0,Condominium,Entire home/apt,256.0,2.0,28.4566,-81.4681,5.0
33452914.0,78.0,76.0,0.0,0.0,30.0,1.0,1.0,59.0,215.0,1362.0,268890.0,Orlando,2.0,32806.0,Guesthouse,Entire home/apt,245.0,1.0,28.5135,-81.3713,5.0
33455481.0,60.0,93.0,0.0,0.0,40.0,1.0,1.0,46.0,167.0,1294.0,268950.0,Orlando,4.0,32807.0,House,Entire home/apt,452.0,2.0,28.5413,-81.3036,5.0
33460516.0,129.0,135.0,0.0,0.0,80.0,1.0,1.0,9.0,8.0,360.0,269050.0,Orlando,2.0,32804.0,Guest suite,Entire home/apt,116.0,1.0,28.5757,-81.3979,5.0
33454081.0,85.0,89.0,0.0,0.0,80.0,1.0,3.0,83.0,303.0,2247.0,268943.0,Orlando,4.0,32812.0,House,Entire home/apt,127.0,3.0,28.4583,-81.3381,5.0
33454117.0,60.0,63.0,0.0,0.0,50.0,1.0,0.0,41.0,136.0,779.0,268943.0,Orlando,2.0,32812.0,Guest suite,Entire home/apt,110.0,1.0,28.4583,-81.3381,5.0
33453429.0,62.0,92.0,0.0,0.0,99.0,1.0,1.0,51.0,187.0,1434.0,268890.0,Orlando,2.0,32806.0,Guesthouse,Entire home/apt,259.0,1.0,28.5152,-81.3696,5.0
33457531.0,80.0,123.0,0.0,0.0,78.0,2.5,2.0,83.0,304.0,3116.0,268998.0,Orlando,6.0,32804.0,House,Entire home/apt,251.0,3.0,28.562,-81.3888,5.0
33453596.0,70.0,97.0,0.0,0.0,30.0,1.0,2.0,58.0,212.0,1714.0,268890.0,Orlando,4.0,32801.0,Guest suite,Entire home/apt,551.0,2.0,28.5403,-81.3731,5.0
