id,nights_booked,occupancy,rental_income,star_rating
33453612.0,96.0,45.0,1330.0,5.0
33453547.0,142.0,39.0,1112.0,5.0
33461174.0,93.0,38.0,1837.0,5.0
33457272.0,78.0,21.0,559.0,5.0
33452824.0,109.0,30.0,672.0,5.0
33453989.0,45.0,12.0,236.0,5.0
33456848.0,260.0,71.0,2838.0,5.0
33469259.0,20.0,5.0,217.0,4.0
33464326.0,196.0,54.0,3087.0,5.0
33453310.0,186.0,51.0,3317.0,5.0
33453119.0,322.0,88.0,2147.0,5.0
33460734.0,67.0,18.0,625.0,5.0
33453290.0,83.0,67.0,1764.0,5.0
33453136.0,119.0,36.0,746.0,4.0
33454710.0,69.0,19.0,2185.0,5.0
33457449.0,289.0,79.0,5226.0,5.0
33455102.0,83.0,23.0,899.0,5.0
33452200.0,143.0,39.0,798.0,5.0
33453447.0,121.0,33.0,938.0,5.0
33453727.0,39.0,11.0,322.0,5.0
33459184.0,153.0,46.0,1488.0,5.0
33460033.0,345.0,95.0,2358.0,5.0
33457410.0,341.0,93.0,3296.0,5.0
33453393.0,234.0,64.0,1424.0,4.0
33452203.0,176.0,48.0,1144.0,5.0
33457900.0,298.0,82.0,1540.0,5.0
33452473.0,275.0,75.0,1352.0,5.0
33452723.0,357.0,98.0,1190.0,5.0
33453480.0,166.0,45.0,1798.0,5.0
33461334.0,82.0,25.0,2013.0,5.0
33451608.0,311.0,85.0,2644.0,5.0
33451747.0,212.0,58.0,1979.0,5.0
33464014.0,308.0,84.0,3131.0,5.0
33463998.0,296.0,81.0,3009.0,5.0
33452565.0,28.0,8.0,147.0,5.0
33456212.0,252.0,69.0,1932.0,5.0
33452403.0,307.0,84.0,1305.0,5.0
33463245.0,248.0,68.0,1219.0,5.0
33461686.0,111.0,30.0,4116.0,5.0
33458343.0,333.0,91.0,2498.0,5.0
33453074.0,186.0,51.0,2217.0,5.0
33453056.0,137.0,38.0,1610.0,5.0
33464405.0,194.0,58.0,2028.0,5.0
33456281.0,355.0,97.0,4793.0,5.0
33454450.0,85.0,28.0,1003.0,5.0
33453174.0,137.0,38.0,719.0,5.0
33452489.0,117.0,32.0,575.0,5.0
33453749.0,348.0,95.0,4147.0,5.0
33451631.0,330.0,90.0,2475.0,5.0
33452798.0,270.0,74.0,1328.0,5.0
33461316.0,38.0,10.0,855.0,5.0
33453275.0,187.0,51.0,1543.0,5.0
33456772.0,349.0,96.0,1832.0,5.0
33453419.0,304.0,83.0,6789.0,5.0
33458171.0,243.0,79.0,1798.0,5.0
33453235.0,35.0,10.0,233.0,5.0
33454453.0,239.0,65.0,916.0,5.0
33454184.0,178.0,49.0,2655.0,5.0
33462348.0,0.0,0.0,0.0,5.0
33457707.0,41.0,15.0,369.0,5.0
33453852.0,221.0,61.0,2744.0,5.0
33457938.0,332.0,91.0,2324.0,5.0
33454818.0,263.0,72.0,3003.0,5.0
33459518.0,260.0,78.0,2222.0,5.0
33454115.0,90.0,25.0,885.0,5.0
33459089.0,110.0,89.0,2860.0,5.0
33458656.0,244.0,89.0,2603.0,5.0
